ex;perhidro;mes;Local;ano;hora;num;sp;CP;peso;Sexo;EstMat;Gordura;pesoevis;Categoria; anom.min ;anom.max;anom.cheia;anom.seca;hidro.min;hidro.max;dur_cheia;dur_seca;estomago;gr
110;seca;nov/09;Lago do Padre;11;CV;60985;Acestrorhynchus falcirostris;18.2;53.00 ;F;6;0;51.3;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
110;seca;nov/09;Lago do Padre;11;CV;60992;Pellona flavipinnis;14.6;40.2;M;NA;1;38.4;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61101;Pellona flavipinnis;15.2;53.5;M;2;2;50.3;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61102;Pellona flavipinnis;14.4;47.6;M;2;2;44.6;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61103;Pellona flavipinnis;14.2;47.3;M;2;3;43.6;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61104;Pellona flavipinnis;12.9;31.00 ;M;NA;2;29.2;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61105;Pellona flavipinnis;13.0 ;33.4;F;2;1;31.4;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61106;Pellona flavipinnis;14.5;46.1;F;2;2;43.3;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61107;Pellona flavipinnis;14.4;47.1;M;2;3;43.2;carnivoro;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61148;Acestrorhynchus falcirostris;29.6;249.6;F;2;2;230.0 ;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61149;Acestrorhynchus falcirostris;23.6;113.5;F;2;2;107.9;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61150;Acestrorhynchus falcirostris;33.0 ;357.7;F;2;3;304.1;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;1;NA
111;seca;dez/09;Lago do Padre;11;N;61151;Acestrorhynchus falcirostris;24.7;132.9;M;2;3;125.3;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61152;Acestrorhynchus falcirostris;29.5;236.6;F;2;2;217.0 ;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61153;Acestrorhynchus falcirostris;22.2;95.5;F;6;2;91.0 ;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
111;seca;dez/09;Lago do Padre;11;N;61154;Acestrorhynchus falcirostris;24.5;116.1;F;2;1;108.8;estrito;-1.72; -   ;-13.1;7.6;15.86;27.96;102;83;0;NA
